杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0,3.2235544,12.963687,3.5664656,0,0,0,0,0,0,0,0,0,0,7.999244,1.6729914,1.4481279,1.5415035,0
0,2.3980522,6.062623,1.4269586,0,0,0,0,0,0,0.07365395,0,0,0,8.625118,1.2299261,0.76868916,0.7312784,0
0,2.6735482,7.965675,1.2932076,0,0,0,0,0,0,0,0,0,0,9.270154,0.7932306,0.5658363,0.582664,0
0,3.7299752,6.054644,1.8670228,0,0,0,0,0,0,0.7797735,0,0,0,8.053512,1.5539311,0.8215711,0.8399161,0
0,3.7303615,6.144395,0.34154636,0,0,0,0,0,0,2.5255072,0,0,0,7.635916,1.7014036,1.0381556,0.88362813,0
0,3.1142898,5.9854064,0.9017811,0,0,0,0,0,0,0.86397547,0,0,0,7.231088,1.1525003,0.4363,0.48752573,0
0,2.6424558,5.918682,0.70297384,0,0,0,0,0,0,0.42406768,0,0,0,8.426496,0.15204628,0.35351703,0.57439077,0
0,2.164221,3.0194051,0.7860961,0,0,0,0,0,0,0.6359654,0,0,0,8.319828,1.6423775,0.72598684,0.64903724,0
0,0.74022734,3.9118588,0.46141714,0,0,0,0,0,0,0,0,0,0,7.972929,0.26784754,0.82936907,0.81627476,0
0,1.0538152,4.095878,2.6702082,0,0,0,0,0,0,0,0,0,0,8.184563,1.9566981,1.3869216,1.34955,0
0,2.7836244,5.1190214,3.7586608,0,0,0,0,0,0,0,0,0,0,8.337904,1.2450068,0.38319984,0.50171876,0
0,3.2408574,7.0524783,3.79997,0,0,0,0,0,0,0,0,0,0,9.137579,0.3156573,0.9240109,1.5212053,0
0,4.6929755,7.9680505,2.6154442,0,0,0,0,0,0,0.51445276,0,0,0,7.8534718,1.4505688,0.55432177,0.8660648,0
0,5.927877,7.88487,2.1380975,0,0,0,0,0,0,2.4803681,0,0,0,7.465006,1.2195406,1.06714,1.2814181,0
0,6.322193,8.049373,1.8841592,0,0,0,0,0,0,3.1293433,0,0,0,8.238212,0.8565179,1.2183484,1.5093558,0
0,6.748849,8.070487,1.1823515,0,0,0,0,0,0,3.6378028,0,0,0,9.020115,1.7708086,1.0296769,0.9763098,0
0,5.664539,9.0259905,1.4201503,0,0,0,0,0,0,2.684508,0,0,0,7.438392,1.9563963,0.91442347,0.73917806,0
0,4.007402,11.044524,0.77090967,0,0,0,0,0,0,2.9879148,0,0,0,8.416716,0.9412228,1.8480086,1.5731766,0
0,3.1742191,11.124536,0.45442107,0,0,0,0,0,0,2.6760921,0,0,0,9.110527,1.7008355,1.9118493,1.384568,0
0,3.2926188,8.953794,0.3281849,0,0,0,0,0,0,2.4884667,0,0,0,8.184875,1.9917976,1.4830805,0.7409259,0
0,2.2508106,8.936702,0.4568692,0,0,0,0,0,0,1.598755,0,0,0,7.816216,2.1106775,1.3667822,0.74143744,0
0,1.6249087,8.823875,0.42394444,0,0,0,0,0,0,1.2425314,0,0,0,9.1339,0.22934304,1.5983884,1.304012,0
