杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Area1,Area2,Area3,Area4,Label
0.1435717,1.0211701,0,0.7437526,0,0,0,0,0.7219839,0,0,0,0,0,1.302394,4.094366,1.8909655,4.53152,1
0.16482982,0.36721155,0,1.2005664,0,0,0,0,0.3702481,0,0,0,0,0,2.0427203,4.3286037,2.0173836,4.6339383,1
0,2.9976068,0,0,0,0,0,0,0.58387405,0,0,0,0,0,1.0903605,4.480264,0.8749494,5.7478604,1
0,3.5516815,0,0,0,0,0,0,0.47776678,0,0,0,0.000410125,0,1.2276887,4.59302,0.68055856,6.2097054,1
0.13803431,1.2143381,0,0.83297944,0,0,0,0,0.65542865,0,0,0,0,0,1.3878658,3.718721,1.793509,4.435812,1
0,1.5320716,0,0,0,0,0,0.16600052,0.9056456,0,0,0,0,0,0.7302941,5.177779,1.6108184,5.228904,1
0,0.84466606,0,0.6588717,0,0,0,0.13528818,0.4230344,0,0,0,0,0,2.336598,6.989616,2.2251077,6.5689063,1
0,0.5561215,0,0.8792267,0,0,0,0.008810639,0,0,0,0,0,0,3.026574,5.8762484,1.7692572,6.0510826,1
0,0.72658616,0,0,0,0,0,0.7335756,0,0,0,0,0,0,1.7336173,5.3847766,1.028532,5.479547,1
0.20492491,0.20122766,0,0.9529456,0,0,0,0.24251033,0,0,0,0,0,0,3.3465452,4.8898096,1.5089473,5.604018,1
0.19293866,0,0,0,0,0,0,1.5214905,0,0,0,0,0,0,2.1577957,5.8298855,1.5883528,5.4631567,1
0,0.091622315,0,0,0,0,0,2.5489817,0,0,0,0,0,0,2.0679603,4.495684,1.0782917,4.6047606,1
0,0,0,0.32132468,0,0,0,3.8714035,0,0,0,0,0,0,2.1838613,5.155657,2.2838416,4.122169,1
0.022847593,0,0,0,0,0,0,2.948135,0,0,0,0,0,0,1.4129432,6.158747,2.2349224,4.959554,1
0,0,0,0,0,0,0,2.5945964,0,0,0,0,0,0,1.6847285,6.046739,1.8275071,5.0451255,1
0.4546734,0,0,0.2357387,0,0,0,1.8329793,0,0,0,0,0,0,1.944578,5.8355966,2.188025,5.168538,1
0.31558287,2.2499468,0,1.5349611,0,0,0,0,0.30166525,0,0,0,0,0,2.500356,4.396043,1.9828457,5.870331,1
0,2.025703,0,1.4310083,0,0,0,0,1.5391375,0,0,0,0,0,1.7958976,3.8309965,1.9140495,5.105547,1
0,1.4532934,0,1.4641042,0,0,0,0,1.8226962,0,0,0,0,0,1.6492467,4.058803,2.2062354,5.0953765,1
0.015920572,0.9446735,0,2.0076537,0,0,0,0,0.9407227,0,0,0,0,0,2.9895685,6.821503,2.8542814,6.7621193,1
0.19471073,0,0,1.8562413,0,0,0.23171099,0,0.022483453,0,0,0,0,0,3.3891344,6.513708,2.5964398,6.277215,1
0,0,0,1.2241799,0,0,0.70252186,0.17792365,0.034042314,0,0,0,0,0,3.01649,5.577241,1.8674859,5.4263067,1
0,0,0,1.6206123,0,0,1.8355042,0.80968714,1.3418728,0,0,0,0,0,1.3903589,6.212236,3.1702766,4.3375,1
0,0,0,1.7851459,0,0,2.1069417,0.8870183,0.2892576,0,0,0,0,0,3.024361,6.996126,2.8539567,5.444562,1
0,0,0,1.1282965,0,0,1.0749475,0.8844496,0.53189063,0,0,0,0,0,1.9383913,5.8412604,2.510802,4.7794523,1
0,0,0,0.7411371,0,0,0.8687424,2.1588018,0.023571104,0,0,0,0,0,1.6822467,6.653423,2.8077738,4.889306,1
0,0,0,0,0,0,0,3.2781932,0,0,0,0,0,0,1.9681576,5.5304403,1.6730419,4.771139,1
0,0,0,0.547521,0,0,0,3.9139225,0,0,0,0,0,0,2.8532736,5.7831626,2.3435516,4.6348534,1
0.03500507,0,0,1.2976737,0,0,0.001476109,2.76142,0,0,0,0,0,0,1.9483293,4.173687,2.684429,3.3161588,1
0.2720827,0,0,0.70986825,0,0,0.11992659,2.1010227,0,0,0,0,0,0,1.3915122,5.8187823,2.7847216,4.5191627,1
1.0109718,0,0,0.26031378,0,0,0,1.1409409,0.018567145,0,0,0,0,0,1.2634782,5.309469,2.2646518,5.060509,1
0.7673807,0.2969768,0,0.3649044,0,0,0,0.84603703,0.49766636,0,0,0,0,0,1.2582804,6.388216,2.5430546,5.736368,1
1.5508076,0.5533926,0,1.4110531,0,0,0,0.139458,0,0,0,0,0,0,2.5591743,4.556907,2.3895614,5.5571094,1
1.4131367,0.019979868,0,1.1709876,0,0,0,0.53914934,0,0,0,0,0,0,2.4509447,4.5758967,2.2962043,5.2086287,1
0.007814433,0.74996406,0,1.8681358,0,0,0,0,1.9916474,0,0,0,0,0,1.4382526,6.303843,3.1104517,5.48223,1
0,0.6918045,0,2.209447,0,0,0.049964532,0,3.141233,0,0,0,0,0,0.6387247,6.070362,3.501913,4.695483,1
0,0.010481974,0,1.9862322,0,0,0,0,5.32766,0,0,0,0,0,1.8569369,4.089788,3.58844,6.4190693,1
0,1.0958122,0,1.8224933,0,0,0,0,2.858721,0,0,0,0,0,1.4707482,5.8334303,2.7310817,5.3556457,1
0.03609731,0.7457306,0,1.7150948,0,0,0,0,1.9460021,0,0,0,0,0,1.4578139,4.242067,2.6093254,4.765963,1
0.16244525,0.8291527,0,0,0,0,0,0.70666015,0.9351847,0,0,0,0,0,0.23441368,4.7572813,1.7728511,4.5106244,1
0.17930469,0.70679355,0,0,0,0,0,0.8136078,0.92326665,0,0,0,0,0,0.2672474,5.014411,1.8718171,4.614806,1
0.112550996,0.8993108,0,0,0,0,0,0.6264298,0.9250201,0,0,0,0,0,0.26353607,4.586033,1.6807245,4.4473324,1
0.11247871,0.90628046,0,0,0,0,0,0.63850987,0.9395915,0,0,0,0,0,0.2670867,4.7084937,1.7135469,4.5230446,1
0.124563284,0.771836,0,0,0,0,0,0.6725224,0.8555716,0,0,0,0,0,0.36085764,4.605448,1.7014613,4.4361444,1
0.12816086,0.74698496,0,0,0,0,0,0.73996043,0.9154401,0,0,0,0,0,0.35396558,5.0220914,1.8431884,4.6568413,1
0.17136312,0.5578944,0,0,0,0,0,1.1269053,1.1744909,0,0,0,0,0,0.27658924,6.921164,2.5154543,5.6148767,1
0.159724,0.6173986,0,0,0,0,0,0.96172833,1.0291004,0,0,0,0,0,0.30713537,5.939305,2.1753206,5.100978,1
0.16219616,0.66629535,0,0,0,0,0,0.78915846,0.8147061,0,0,0,0,0,0.36896494,4.7547116,1.7484927,4.492469,1
0.12789282,0.45126757,0,0,0,0,0,1.0661918,0.8899772,0,0,0,0,0,0.35467324,5.6050525,2.024509,4.8577538,1
0.12117068,0.3777704,0,0,0,0,0,1.2048686,0.9226165,0,0,0,0,0,0.29135,5.905451,2.120506,4.9704046,1
0.07601135,0.43003935,0,0,0,0,0,0.98788774,0.72073066,0,0,0,0,0,0.40149388,4.724625,1.6855698,4.365325,1
0.08942451,0.33495075,0,0,0,0,0,1.2192159,0.86694634,0,0,0,0,0,0.28186977,5.608764,2.0071654,4.7737117,1
0.101937525,0.35076234,0,0,0,0,0,1.2635082,0.9508363,0,0,0,0,0,0.3027512,6.221045,2.2120357,5.135855,1
0.09350375,0.4058177,0,0,0,0,0,1.0749826,0.8297057,0,0,0,0,0,0.39706427,5.452171,1.9522861,4.759476,1
0.14335516,0.45563167,0,0,0,0,0,1.0604452,0.92003345,0,0,0,0,0,0.3543993,5.7394814,2.094423,4.932367,1
0.16783264,0.81158483,0,0,0,0,0,0.83050334,1.0755556,0,0,0,0,0,0.19259703,5.591891,2.0569885,4.9562335,1
0.19698513,0.79795015,0,0,0,0,0,0.7335819,0.9536532,0,0,0,0,0,0.10997194,4.442871,1.7145315,4.277094,1
0.20821354,0.7370602,0,0,0,0,0,0.82841873,1.0010601,0,0,0,0,0,0.08833516,4.800025,1.8446517,4.444233,1
0.19953808,0.5129392,0,0,0,0,0,1.2853589,1.3008431,0,0,0,0,0,0.111935124,7.3844795,2.7085938,5.7966733,1
0.19041595,0.46952796,0,0,0,0,0,1.2486182,1.1670002,0,0,0,0,0,0.17457363,6.853395,2.5102565,5.505028,1
0.1332066,0.5155083,0,0,0,0,0,0.9947109,0.8734044,0,0,0,0,0,0.28899038,5.1611357,1.8852187,4.613908,1
0.116046764,0.39987206,0,0,0,0,0,1.1727203,0.93522966,0,0,0,0,0,0.25438112,5.743645,2.0816362,4.8693,1
0.12302042,0.3015289,0,0,0,0,0,1.4382641,1.0690147,0,0,0,0,0,0.16121903,6.78528,2.4240198,5.381954,1
0.09703251,0.37422967,0,0,0,0,0,1.2091005,0.9140725,0,0,0,0,0,0.27886397,5.8171716,2.0785666,4.9092474,1
0.10104539,0.31431422,0,0,0,0,0,1.3506539,0.98862183,0,0,0,0,0,0.24328846,6.427052,2.2838044,5.2132926,1
0.13134626,0.38864884,0,0,0,0,0,1.0913591,0.79484093,0,0,0,0,0,0.25766823,4.87214,1.7904619,4.3840246,1
0.13882884,0.29509467,0,0,0,0,0,1.3557225,0.95648503,0,0,0,0,0,0.13277762,5.9234843,2.1533086,4.8875713,1
0.14075401,0.35940123,0,0,0,0,0,1.1714857,0.8568983,0,0,0,0,0,0.21678746,5.244866,1.931225,4.563941,1
0.1693855,0.36947483,0,0,0,0,0,1.2688633,1.0020431,0,0,0,0,0,0.19994304,6.178351,2.2603476,5.0911217,1
0.24638695,0.54784817,0,0,0,0,0,1.040151,1.0213274,0,0,0,0,0,0.1483683,5.5771265,2.1215637,4.8263493,1
