area1,area2,area3,area4,Label
2.0355747,6.4206576,0,4.412918,1
1.3617202,7.1711483,0,4.8103657,1
1.2811724,7.3891845,0,5.2306747,1
1.8245394,6.044507,0,4.1042824,1
1.0209199,7.7639995,0,4.741805,1
2.3869,9.316971,0,6.1343765,1
3.2429075,8.207302,0,5.331727,1
1.2034018,7.586655,0,5.215389,1
3.558908,6.5725865,0,5.6523743,1
2.4697485,7.795362,0,5.579587,1
2.6843047,6.3357973,0,5.187278,1
2.1968567,6.797216,0,5.0128646,1
1.4292773,7.890076,0,5.6548104,1
1.6064544,8.064116,0,5.016708,1
2.2451868,8.0896635,0,4.960909,1
2.9917166,6.4508395,0,5.701181,1
1.4886615,5.681278,0,5.2212744,1
1.2273,5.8105597,0,5.344929,1
3.2434497,9.159507,0,6.252713,1
3.2393606,8.753083,0,5.7518272,1
2.4219637,7.9454746,0,4.998793,1
1.1182134,8.310758,0,4.2342386,1
3.0570905,8.948603,0,5.424988,1
1.779638,7.988285,0,4.9622407,1
1.3968744,8.562844,0,5.4081917,1
1.617555,7.6261983,0,4.83995,1
2.8458383,7.6711884,0,5.274029,1
2.0647314,5.820482,0,4.309188,1
1.4045044,7.669104,0,4.949948,1
1.1441046,7.4125104,0,5.0895195,1
0.9660469,8.797899,0,5.458197,1
2.7731326,6.9435396,0,4.9464445,1
2.7915792,7.089307,0,4.3720427,1
0.9386142,8.212978,0,5.965623,1
0,7.3065047,0,5.3208838,1
1.7226952,6.0058413,0,6.548928,1
0.8545201,7.7721915,0,5.3906107,1
0.8773416,5.9106402,0,5.5873313,1
0.062784046,6.7903585,0,4.6897364,1
0.056796607,7.0170736,0,4.791604,1
0.10006742,6.6086273,0,4.647974,1
0.09747657,6.7332883,0,4.722173,1
0.15731029,6.6186914,0,4.6232977,1
0.12440604,7.0407205,0,4.824376,1
0,8.972241,0,5.672947,1
0.018471774,7.971644,0,5.214688,1
0.14014734,6.748963,0,4.687598,1
0.046271075,7.518248,0,5.0596523,1
0.011603758,7.765992,0,5.1684103,1
0.10941672,6.576817,0,4.641154,1
0.024388436,7.421339,0,5.00018,1
0,8.100373,0,5.301665,1
0.06953888,7.3698773,0,4.950561,1
0.033139262,7.702747,0,5.083085,1
0,7.6306033,0,5.102269,1
0,6.375628,0,4.541057,1
0,6.706162,0,4.7084017,1
0,9.330406,0,5.868315,1
0,8.793366,0,5.6117406,1
0.035086524,7.046748,0,4.85379,1
0.003231064,7.59562,0,5.07195,1
0,8.588402,0,5.541004,1
0.0135938,7.657691,0,5.119257,1
0,8.266221,0,5.3807087,1
0.027312007,6.6611137,0,4.681254,1
0,7.664504,0,5.130087,1
0.001579549,7.0336576,0,4.8261175,1
0,8.033218,0,5.263234,1
0,7.469467,0,5.039729,1
0,8.115785,0,5.309134,1
0,7.3978705,0,4.98874,1
0.001494054,7.004781,0,4.788722,1
0,8.238729,0,5.3882885,1
0,7.7380724,0,5.1389656,1
0,7.998198,0,5.293294,1
0,7.327829,0,4.9810233,1
0,6.760184,0,4.7391148,1
3.2699244,4.3421025,0,6.089448,1
3.3880365,4.4781055,0,6.16642,1
2.9230328,3.8647244,0,5.8788376,1
2.8335729,3.749495,0,5.778191,1
3.2666001,4.2729154,0,6.1638546,1
3.2045789,4.1930285,0,6.094077,1
4.01255,5.247575,0,6.9048653,1
3.6461146,4.7755857,0,6.492611,1
2.851446,3.704437,0,5.547161,1
3.4503438,4.4966846,0,6.180763,1
3.5234592,4.59189,0,6.251954,1
2.9887683,3.8382695,0,5.673599,1
3.6691127,4.7215223,0,6.433712,1
3.8202865,4.938788,0,6.5949936,1
3.4557378,4.430309,0,6.209071,1
3.666023,4.719505,0,6.455456,1
3.5227113,4.7264485,0,6.461037,1
2.843758,3.936217,0,5.5858335,1
2.9773567,4.0732713,0,5.6473284,1
