杂物,炼钢炉,行车支架,墙,钢架,轨道车,挖掘机,废料堆,过道,索具,半成品堆料,板房,平台,喷煤气设备,Label
0,3,15,6,0,0,0,0,0,0,0,0,0,0,0
0,3,13,4,2,0,0,0,0,0,0,0,0,0,0
0,3,6,1,0,0,0,0,0,0,0,0,0,0,0
0,3,8,1,1,0,0,0,0,0,0,0,0,0,0
0,5,6,1,1,0,0,0,0,0,0,0,0,0,0
0,4,6,0,2,0,0,0,0,0,2,0,0,0,0
0,4,6,0,2,0,0,0,0,0,0,0,0,0,0
0,3,6,0,2,0,0,0,0,0,0,0,0,0,0
0,3,3,0,1,0,0,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,3,0,0,0,0,0,0,0,0,0,0,0
0,3,5,4,1,0,0,0,0,0,0,0,0,0,0
0,3,7,4,3,0,0,0,0,0,0,0,0,0,0
0,4,8,3,4,0,0,0,0,0,1,0,0,0,0
0,6,8,2,5,0,0,0,0,0,2,0,0,0,0
0,6,8,2,5,0,0,0,0,0,3,0,0,0,0
0,7,8,1,4,0,0,0,0,0,3,0,0,0,0
0,5,9,2,3,0,0,0,0,0,3,0,0,0,0
0,4,11,1,2,0,0,0,0,0,3,0,0,0,0
0,3,11,1,1,0,0,0,0,0,3,0,0,0,0
0,3,9,1,0,0,0,0,0,0,3,0,0,0,0
0,2,9,1,1,0,0,0,0,0,2,0,0,0,0
0,1,9,1,1,0,0,0,0,0,2,0,0,0,0
0,1,9,2,1,0,0,0,0,0,1,0,0,0,0
0,1,7,2,2,0,0,0,0,0,0,0,0,0,0
0,1,8,1,2,0,0,0,0,0,0,0,0,0,0
0,2,8,1,2,0,0,0,0,0,0,0,0,0,0
0,1,7,2,2,0,0,0,0,0,0,0,0,0,0
0,3,6,2,2,0,0,0,0,0,0,0,0,0,0
0,2,7,1,2,0,0,0,0,0,1,0,0,0,0
0,4,8,1,2,0,0,0,0,0,1,0,0,0,0
0,3,7,2,3,0,0,0,0,0,2,0,0,0,0
0,3,5,1,2,0,0,0,0,0,1,0,0,0,0
0,3,6,1,1,0,0,0,0,0,1,0,0,0,0
0,2,7,2,1,0,0,0,0,0,1,0,0,0,0
0,3,9,2,1,0,0,0,0,0,0,0,0,0,0
0,2,8,1,1,0,0,0,0,0,0,0,0,0,0
0,2,7,1,1,0,0,0,0,0,0,0,0,0,0
0,4,7,2,1,0,0,0,0,0,0,0,0,0,0
0,1,5,5,1,0,0,0,0,0,0,0,0,0,0
0,5.71,7.73,3.64,3.61,0,0,0,0,0,2.52,0,0,0,0
0,3.06,4.04,1.89,1.92,0,0,0,0,0,1.31,0,0,0,0
0,3.7,4.94,2.32,2.33,0,0,0,0,0,1.6,0,0,0,0
0,3.5,4.64,2.2,2.19,0,0,0,0,0,1.54,0,0,0,0
0,3.57,4.73,2.24,2.22,0,0,0,0,0,1.57,0,0,0,0
0,3.23,4.26,2,2.02,0,0,0,0,0,1.41,0,0,0,0
0,3.04,4.02,1.87,1.9,0,0,0,0,0,1.31,0,0,0,0
0,2.12,2.71,1.26,1.3,0,0,0,0,0,0.89,0,0,0,0
0,1.97,2.5,1.13,1.21,0,0,0,0,0,0.79,0,0,0,0
0,2.48,3.2,1.51,1.56,0,0,0,0,0,1.04,0,0,0,0
0,3.36,4.45,2.14,2.13,0,0,0,0,0,1.46,0,0,0,0
0,4.07,5.46,2.62,2.57,0,0,0,0,0,1.78,0,0,0,0
0,4.61,6.22,2.99,2.9,0,0,0,0,0,2.03,0,0,0,0
0,5.05,6.81,3.28,3.16,0,0,0,0,0,2.27,0,0,0,0
0,5.22,7.04,3.4,3.27,0,0,0,0,0,2.35,0,0,0,0
0,5.16,6.95,3.34,3.24,0,0,0,0,0,2.34,0,0,0,0
0,5.17,6.98,3.35,3.25,0,0,0,0,0,2.31,0,0,0,0
0,5.32,7.19,3.42,3.36,0,0,0,0,0,2.36,0,0,0,0
0,5.07,6.84,3.24,3.2,0,0,0,0,0,2.23,0,0,0,0
0,4.42,5.93,2.81,2.78,0,0,0,0,0,1.94,0,0,0,0
0,4.15,5.56,2.62,2.61,0,0,0,0,0,1.79,0,0,0,0
0,3.97,5.31,2.48,2.49,0,0,0,0,0,1.7,0,0,0,0
0,3.97,5.3,2.47,2.49,0,0,0,0,0,1.71,0,0,0,0
0,3.3,4.38,2.03,2.06,0,0,0,0,0,1.4,0,0,0,0
0,3.42,4.54,2.1,2.14,0,0,0,0,0,1.45,0,0,0,0
0,3.6,4.8,2.24,2.26,0,0,0,0,0,1.55,0,0,0,0
0,3.3,4.38,2.03,2.06,0,0,0,0,0,1.4,0,0,0,0
0,3.37,4.49,2.13,2.11,0,0,0,0,0,1.46,0,0,0,0
0,3.48,4.64,2.18,2.18,0,0,0,0,0,1.49,0,0,0,0
0,4.13,5.53,2.62,2.6,0,0,0,0,0,1.82,0,0,0,0
0,4.08,5.46,2.62,2.55,0,0,0,0,0,1.78,0,0,0,0
0,3.09,4.09,1.94,1.92,0,0,0,0,0,1.33,0,0,0,0
0,3.3,4.38,2.07,2.06,0,0,0,0,0,1.43,0,0,0,0
0,3.58,4.76,2.25,2.24,0,0,0,0,0,1.54,0,0,0,0
0,4.16,5.57,2.62,2.62,0,0,0,0,0,1.81,0,0,0,0
0,3.53,4.69,2.18,2.22,0,0,0,0,0,1.51,0,0,0,0
0,3.24,4.29,1.99,2.03,0,0,0,0,0,1.38,0,0,0,0
0,3.76,5.03,2.39,2.37,0,0,0,0,0,1.65,0,0,0,0
0,3.18,4.18,2,2.03,0,0,0,0,0,1.36,0,0,0,0
0,2.62,1.73,3.17,3.97,0,0,0,0.87,0,1.79,0,0,0,0
0,1.34,1.08,1.62,2.09,0,0,0,0.3,0,1.09,0,0,0,0
0,1.61,1.23,1.95,2.5,0,0,0,0.42,0,1.25,0,0,0,0
0,1.61,1.22,1.95,2.5,0,0,0,0.42,0,1.24,0,0,0,0
0,1.72,1.28,2.07,2.66,0,0,0,0.46,0,1.3,0,0,0,0
0,1.39,1.11,1.68,2.17,0,0,0,0.32,0,1.12,0,0,0,0
0,1.26,1.05,1.53,1.99,0,0,0,0.26,0,1.05,0,0,0,0
0,0.85,0.84,1.06,1.39,0,0,0,0.08,0,0.84,0,0,0,0
0,0.71,0.77,0.87,1.18,0,0,0,0.02,0,0.76,0,0,0,0
0,1.07,0.95,1.3,1.7,0,0,0,0.18,0,0.94,0,0,0,0
0,1.59,1.21,1.92,2.46,0,0,0,0.41,0,1.21,0,0,0,0
0,1.9,1.36,2.29,2.91,0,0,0,0.54,0,1.37,0,0,0,0
0,2.22,1.52,2.67,3.38,0,0,0,0.68,0,1.55,0,0,0,0
